pid,coauthor_pid,years
m/TovaMilo,s/JuliaStoyanovich,2016
m/TovaMilo,43/1219-1,2016
m/TovaMilo,98/6876,2016
m/TovaMilo,77/4620,2015
m/TovaMilo,147/1189,2015
m/TovaMilo,39/7183,2015
m/TovaMilo,f/MJFranklin,2015
m/TovaMilo,26/6037,2015
m/TovaMilo,41/3679,2015
m/TovaMilo,88/9060,2015
m/TovaMilo,98/6876,2015
m/TovaMilo,12/225,2015
m/TovaMilo,t/WangChiewTan,2015
m/TovaMilo,c/LeiChen0002,2015
m/TovaMilo,49/8316,2015
m/TovaMilo,s/DanSuciu,2015
m/TovaMilo,88/9060,2014
m/TovaMilo,a/DJAbadi,2014
m/TovaMilo,a/AnastassiaAilamaki,2014
m/TovaMilo,b/MagdalenaBalazinska,2014
m/TovaMilo,b/PhilipABernstein,2014
m/TovaMilo,31/3455,2014
m/TovaMilo,c/SurajitChaudhuri,2014
m/TovaMilo,d/AnHaiDoan,2014
m/TovaMilo,f/MJFranklin,2014
m/TovaMilo,g/JohannesGehrke,2014
m/TovaMilo,h/AlonYHalevy,2014
m/TovaMilo,j/HVJagadish,2014
m/TovaMilo,k/DonaldKossmann,2014
m/TovaMilo,m/SamuelMadden,2014
m/TovaMilo,m/SharadMehrotra,2014
m/TovaMilo,n/JeffreyFNaughton,2014
m/TovaMilo,m/VMarkl,2014
m/TovaMilo,o/BengChinOoi,2014
m/TovaMilo,r/ChristopherRe,2014
m/TovaMilo,s/DanSuciu,2014
m/TovaMilo,s/MichaelStonebraker,2014
m/TovaMilo,77/4620,2014
m/TovaMilo,98/6876,2014
m/TovaMilo,t/ValTannen,2014
m/TovaMilo,39/7183,2014
m/TovaMilo,147/1189,2014
m/TovaMilo,26/6037,2014
m/TovaMilo,49/8316,2014
m/TovaMilo,88/9060,2013
m/TovaMilo,12/225,2013
m/TovaMilo,98/6876,2013
m/TovaMilo,p/NeoklisPolyzotis,2013
m/TovaMilo,i/ZacharyGIves,2013
m/TovaMilo,t/ValTannen,2013
m/TovaMilo,s/JuliaStoyanovich,2013
m/TovaMilo,77/4620,2013
m/TovaMilo,98/6876,2012
m/TovaMilo,88/9060,2012
m/TovaMilo,t/ValTannen,2012
m/TovaMilo,p/NeoklisPolyzotis,2012
m/TovaMilo,t/WangChiewTan,2012
m/TovaMilo,12/225,2012
m/TovaMilo,s/JuliaStoyanovich,2012
m/TovaMilo,77/4620,2012
m/TovaMilo,88/9060,2011
m/TovaMilo,98/6876,2011
m/TovaMilo,s/JuliaStoyanovich,2011
m/TovaMilo,t/ValTannen,2011
m/TovaMilo,m/VMarkl,2011
m/TovaMilo,77/4620,2011
m/TovaMilo,88/6466-1,2011
m/TovaMilo,98/6876,2010
m/TovaMilo,p/NeoklisPolyzotis,2010
m/TovaMilo,k/ChristophKoch,2010
m/TovaMilo,98/6876,2009
m/TovaMilo,p/NeoklisPolyzotis,2009
m/TovaMilo,98/6876,2008
m/TovaMilo,98/6876,2007
m/TovaMilo,p/NeoklisPolyzotis,2007
m/TovaMilo,p/NeoklisPolyzotis,2006
m/TovaMilo,a/BAmann,2005
m/TovaMilo,m/IoanaManolescu,2004
m/TovaMilo,74/6086,2004
m/TovaMilo,s/DanSuciu,2003
m/TovaMilo,n/FrankNeven,2003
m/TovaMilo,a/BAmann,2003
m/TovaMilo,b/ABonifati,2003
m/TovaMilo,m/IoanaManolescu,2003
m/TovaMilo,m/IoanaManolescu,2002
m/TovaMilo,r/KARoss,2001
m/TovaMilo,n/FrankNeven,2001
m/TovaMilo,s/DanSuciu,2001
m/TovaMilo,s/DanSuciu,2000
m/TovaMilo,s/DanSuciu,1999
m/TovaMilo,j/HVJagadish,1999
m/TovaMilo,s/DiveshSrivastava,1999
m/TovaMilo,a/BAmann,1999
m/TovaMilo,a/BAmann,1998
m/TovaMilo,c/VassilisChristophides,1997
m/TovaMilo,j/HVJagadish,1997
m/TovaMilo,j/HVJagadish,1995
05/1478,a/AmrElAbbadi,2021
05/1478,183/8663,2021
05/1478,a/DivyakantAgrawal,2021
05/1478,183/8663,2020
05/1478,a/DivyakantAgrawal,2020
05/1478,a/AmrElAbbadi,2020
05/1478,a/AmrElAbbadi,2019
05/1478,25/3618,2018
05/1478,a/AmrElAbbadi,2018
05/1478,00/1107,2010
05/1478,b/LucBouganim,2010
05/1478,92/6981,2008
05/1478,m/IoanaManolescu,2008
77/1703,76/1820-20,2021
77/1703,251/9524,2021
77/1703,76/1820-20,2020
77/1703,76/1820-20,2019
77/1703,251/9524,2019
77/1703,76/1820-20,2018
77/1703,76/1820-20,2016
77/1703,76/1820-20,2014
77/1703,76/1820-20,2013
77/1703,76/1820-20,2012
77/1703,76/1820-20,2011
77/1703,76/1820-20,2010
77/1703,76/1820-20,2009
166/7652,38/4996,2021
166/7652,x/JianliangXu,2021
166/7652,89/2619,2021
166/7652,07/1560,2021
166/7652,23/282,2021
166/7652,j/ChristianSJensen,2021
166/7652,23/282,2020
166/7652,38/4996,2020
166/7652,89/2619,2020
166/7652,j/ChristianSJensen,2020
166/7652,23/282,2019
166/7652,38/4996,2019
166/7652,23/282,2017
166/7652,34/6253,2017
166/7652,23/282,2015
25/9994,14/716,2018
25/9994,77/1985,2012
25/9994,77/1985,2011
07/1751,21/1048-2,2015
07/1751,80/2732,2015
07/1751,21/1048-2,2013
07/1751,80/2732,2013
199/6350,b/ABonifati,2021
199/6350,b/ABonifati,2019
199/6350,b/ABonifati,2017
c/UgurCetintemel,147/4971,2021
c/UgurCetintemel,26/6037,2020
c/UgurCetintemel,147/4971,2020
c/UgurCetintemel,218/5225,2020
c/UgurCetintemel,45/1559,2020
c/UgurCetintemel,45/1559,2019
c/UgurCetintemel,30/841,2019
c/UgurCetintemel,s/MichaelStonebraker,2019
c/UgurCetintemel,147/4971,2019
c/UgurCetintemel,218/5225,2019
c/UgurCetintemel,218/5225,2018
c/UgurCetintemel,45/1559,2018
c/UgurCetintemel,s/MichaelStonebraker,2018
c/UgurCetintemel,45/1559,2017
c/UgurCetintemel,147/4971,2017
c/UgurCetintemel,218/5225,2017
c/UgurCetintemel,26/6037,2017
c/UgurCetintemel,189/2405,2017
c/UgurCetintemel,45/1559,2016
c/UgurCetintemel,26/6037,2016
c/UgurCetintemel,a/DJAbadi,2016
c/UgurCetintemel,b/MagdalenaBalazinska,2016
c/UgurCetintemel,97/5585,2016
c/UgurCetintemel,m/SamuelMadden,2016
c/UgurCetintemel,s/MichaelStonebraker,2016
c/UgurCetintemel,t/NesimeTatbul,2016
c/UgurCetintemel,147/4971,2015
c/UgurCetintemel,26/6037,2015
c/UgurCetintemel,45/1559,2015
c/UgurCetintemel,75/9436,2015
c/UgurCetintemel,43/2286,2015
c/UgurCetintemel,s/MichaelStonebraker,2015
c/UgurCetintemel,b/MagdalenaBalazinska,2015
c/UgurCetintemel,h/BillHowe,2015
c/UgurCetintemel,25/6583,2015
c/UgurCetintemel,m/SamuelMadden,2015
c/UgurCetintemel,t/NesimeTatbul,2015
c/UgurCetintemel,25/7592,2015
c/UgurCetintemel,58/4127,2015
c/UgurCetintemel,p/TorbenBachPedersen,2015
c/UgurCetintemel,26/6037,2014
c/UgurCetintemel,m/SamuelMadden,2014
c/UgurCetintemel,58/4127,2014
c/UgurCetintemel,s/MichaelStonebraker,2014
c/UgurCetintemel,t/NesimeTatbul,2014
c/UgurCetintemel,k/HenryFKorth,2014
c/UgurCetintemel,t/AnthonyKHTung,2014
c/UgurCetintemel,43/2286,2014
c/UgurCetintemel,37/3024,2014
c/UgurCetintemel,147/4971,2014
c/UgurCetintemel,37/3024,2013
c/UgurCetintemel,97/5585,2013
c/UgurCetintemel,43/2286,2013
c/UgurCetintemel,43/2286,2011
c/UgurCetintemel,37/3024,2011
c/UgurCetintemel,43/2286,2010
c/UgurCetintemel,37/3024,2010
c/UgurCetintemel,37/3024,2009
c/UgurCetintemel,t/NesimeTatbul,2008
c/UgurCetintemel,g/JohannesGehrke,2008
c/UgurCetintemel,37/3024,2008
c/UgurCetintemel,43/2286,2008
c/UgurCetintemel,97/5585,2008
c/UgurCetintemel,s/MichaelStonebraker,2007
c/UgurCetintemel,25/2228,2007
c/UgurCetintemel,43/2286,2007
c/UgurCetintemel,97/5585,2007
c/UgurCetintemel,t/NesimeTatbul,2007
c/UgurCetintemel,t/NesimeTatbul,2006
c/UgurCetintemel,97/5585,2006
c/UgurCetintemel,37/3024,2006
c/UgurCetintemel,s/MichaelStonebraker,2005
c/UgurCetintemel,a/DJAbadi,2005
c/UgurCetintemel,b/MagdalenaBalazinska,2005
c/UgurCetintemel,97/5585,2005
c/UgurCetintemel,t/NesimeTatbul,2005
c/UgurCetintemel,37/3024,2005
c/UgurCetintemel,b/MagdalenaBalazinska,2004
c/UgurCetintemel,s/MichaelStonebraker,2004
c/UgurCetintemel,t/NesimeTatbul,2004
c/UgurCetintemel,37/3024,2004
c/UgurCetintemel,s/MichaelStonebraker,2003
c/UgurCetintemel,b/MagdalenaBalazinska,2003
c/UgurCetintemel,f/MJFranklin,2003
c/UgurCetintemel,a/DJAbadi,2003
c/UgurCetintemel,t/NesimeTatbul,2003
c/UgurCetintemel,s/MichaelStonebraker,2002
c/UgurCetintemel,t/NesimeTatbul,2002
c/UgurCetintemel,f/MJFranklin,2001
c/UgurCetintemel,f/MJFranklin,2000
c/UgurCetintemel,f/MJFranklin,1998
c/UgurCetintemel,j/BjornTorJonsson1,1998
c/UgurCetintemel,s/DiveshSrivastava,1998
l/UlfLeser,k/ChristophKoch,2021
l/UlfLeser,m/VMarkl,2021
l/UlfLeser,10/760,2021
l/UlfLeser,61/267,2021
l/UlfLeser,l/BertramLudascher,2021
l/UlfLeser,38/4801,2020
l/UlfLeser,59/6952,2020
l/UlfLeser,76/3961,2018
l/UlfLeser,38/4801,2018
l/UlfLeser,f/JCFreytag,2018
l/UlfLeser,59/6952,2018
l/UlfLeser,n/FelixNaumann,2018
l/UlfLeser,g/GoetzGraefe,2017
l/UlfLeser,38/4801,2017
l/UlfLeser,59/6952,2017
l/UlfLeser,59/6952,2016
l/UlfLeser,h/SvenHelmer,2016
l/UlfLeser,38/4801,2016
l/UlfLeser,n/FelixNaumann,2015
l/UlfLeser,38/4801,2015
l/UlfLeser,59/6952,2015
l/UlfLeser,71/8700-1,2014
l/UlfLeser,w/WeiWang11,2014
l/UlfLeser,f/JCFreytag,2014
l/UlfLeser,m/VMarkl,2014
l/UlfLeser,n/FelixNaumann,2014
l/UlfLeser,08/3969,2013
l/UlfLeser,k/AlfonsKemper,2013
l/UlfLeser,n/FelixNaumann,2013
l/UlfLeser,m/HeikoMuller,2012
l/UlfLeser,f/JCFreytag,2012
l/UlfLeser,38/8707,2012
l/UlfLeser,n/FelixNaumann,2012
l/UlfLeser,66/6919,2010
l/UlfLeser,n/FelixNaumann,2010
l/UlfLeser,66/6919,2009
l/UlfLeser,n/FelixNaumann,2009
l/UlfLeser,n/FelixNaumann,2007
l/UlfLeser,n/FelixNaumann,2006
l/UlfLeser,m/HeikoMuller,2006
l/UlfLeser,f/JCFreytag,2006
l/UlfLeser,m/HeikoMuller,2005
l/UlfLeser,w/MelanieWeis,2005
l/UlfLeser,n/FelixNaumann,2005
l/UlfLeser,n/FelixNaumann,2004
l/UlfLeser,f/JCFreytag,2004
l/UlfLeser,m/HeikoMuller,2004
l/UlfLeser,p/JianPei,2004
l/UlfLeser,n/FelixNaumann,2000
l/UlfLeser,m/HeikoMuller,1999
l/UlfLeser,n/FelixNaumann,1999
l/UlfLeser,f/JCFreytag,1999
99/6349,26/6037,2021
99/6349,37/3024,2021
99/6349,r/ChristopherRe,2021
99/6349,s/MichaelStonebraker,2021
99/6349,80/2320,2021
99/6349,167/6469,2021
99/6349,175/1473,2021
99/6349,49/612,2021
99/6349,k/DonaldKossmann,2021
99/6349,g/JohannesGehrke,2021
99/6349,g/JonathanGoldstein,2020
99/6349,g/JohannesGehrke,2020
99/6349,49/612,2020
99/6349,k/DonaldKossmann,2020
99/6349,26/6037,2020
99/6349,16/8981,2019
99/6349,k/DonaldKossmann,2019
99/6349,155/5478,2019
99/6349,49/612,2019
99/6349,g/JohannesGehrke,2019
99/6349,127/3025,2018
99/6349,02/3658,2018
99/6349,o/FatmaOzcan,2016
99/6349,o/FatmaOzcan,2015
99/6349,m/EssamMansour,2014
99/6349,s/KennethSalem,2014
99/6349,o/FatmaOzcan,2014
99/6349,s/KennethSalem,2013
99/6349,s/KennethSalem,2012
99/6349,s/KennethSalem,2011
99/6349,s/KennethSalem,2010
99/6349,s/KennethSalem,2009
99/6349,s/KennethSalem,2008
r/UweRohm,45/1559,2020
r/UweRohm,218/5225,2020
r/UweRohm,26/6037,2020
r/UweRohm,45/1559,2019
r/UweRohm,45/1270,2014
r/UweRohm,45/1270,2013
r/UweRohm,45/1270,2011
r/UweRohm,26/6037,2006
68/3004,11/1466,2021
42/5855,r/LouiqaRaschid,2019
42/5855,31/3455,2017
42/5855,57/10514,2015
42/5855,07/1181,2015
42/5855,r/LouiqaRaschid,2014
42/5855,t/ArashTermehchy,2014
42/5855,57/10514,2014
42/5855,07/1181,2014
42/5855,07/1181,2013
42/5855,g/AristidesGionis,2013
42/5855,t/ArashTermehchy,2012
42/5855,g/AristidesGionis,2012
42/5855,07/1181,2011
42/5855,r/LouiqaRaschid,2011
42/5855,c/ShuChingChen,2010
42/5855,07/1181,2010
42/5855,g/DimitriosGunopulos,2010
42/5855,k/NickKoudas,2010
42/5855,p/YPapakonstantinou,2010
42/5855,r/LouiqaRaschid,2010
42/5855,07/1181,2009
42/5855,r/LouiqaRaschid,2009
42/5855,23/282,2008
42/5855,34/6253,2008
42/5855,p/YPapakonstantinou,2008
42/5855,c/ShuChingChen,2008
42/5855,07/1181,2008
42/5855,i/IhabFIlyas,2008
42/5855,r/LouiqaRaschid,2008
42/5855,t/YufeiTao,2007
42/5855,p/DimitrisPapadias,2007
42/5855,p/YPapakonstantinou,2007
42/5855,07/1181,2007
42/5855,s/SSudarshan1,2007
42/5855,w/GerhardWeikum,2007
42/5855,k/NickKoudas,2006
42/5855,p/YPapakonstantinou,2006
42/5855,s/DiveshSrivastava,2006
42/5855,c/SurajitChaudhuri,2006
42/5855,07/1181,2006
42/5855,w/GerhardWeikum,2006
42/5855,s/SSudarshan1,2006
42/5855,p/YPapakonstantinou,2004
42/5855,c/SurajitChaudhuri,2004
42/5855,07/1181,2004
42/5855,w/GerhardWeikum,2004
42/5855,p/YPapakonstantinou,2003
42/5855,k/NickKoudas,2003
42/5855,s/DiveshSrivastava,2003
42/5855,p/YPapakonstantinou,2002
42/5855,k/NickKoudas,2001
42/5855,p/YPapakonstantinou,2001
t/ValTannen,i/ZacharyGIves,2021
t/ValTannen,i/ZacharyGIves,2019
t/ValTannen,49/8316,2017
t/ValTannen,n/JeffreyFNaughton,2017
t/ValTannen,k/ChristophKoch,2016
t/ValTannen,i/ZacharyGIves,2016
t/ValTannen,98/6876,2015
t/ValTannen,135/4661,2015
t/ValTannen,98/6876,2014
t/ValTannen,135/4661,2014
t/ValTannen,m/TovaMilo,2014
t/ValTannen,77/4620,2014
t/ValTannen,k/ChristophKoch,2014
t/ValTannen,98/6876,2013
t/ValTannen,135/4661,2013
t/ValTannen,i/ZacharyGIves,2013
t/ValTannen,m/TovaMilo,2013
t/ValTannen,88/9060,2012
t/ValTannen,98/6876,2012
t/ValTannen,m/TovaMilo,2012
t/ValTannen,s/JuliaStoyanovich,2012
t/ValTannen,i/ZacharyGIves,2011
t/ValTannen,77/4620,2011
t/ValTannen,88/9060,2011
t/ValTannen,98/6876,2011
t/ValTannen,m/TovaMilo,2011
t/ValTannen,s/JuliaStoyanovich,2011
t/ValTannen,88/6466-1,2011
t/ValTannen,i/ZacharyGIves,2010
t/ValTannen,77/4620,2010
t/ValTannen,i/ZacharyGIves,2009
t/ValTannen,c/VassilisChristophides,2009
t/ValTannen,i/ZacharyGIves,2008
t/ValTannen,i/ZacharyGIves,2007
t/ValTannen,c/VassilisChristophides,2006
t/ValTannen,d/AlinDeutsch,2006
t/ValTannen,p/LucianPopa,2006
t/ValTannen,d/AlinDeutsch,2005
t/ValTannen,c/VassilisChristophides,2005
t/ValTannen,c/VassilisChristophides,2004
t/ValTannen,c/VassilisChristophides,2003
t/ValTannen,d/AlinDeutsch,2003
t/ValTannen,d/AlinDeutsch,2001
t/ValTannen,p/LucianPopa,2000
t/ValTannen,d/AlinDeutsch,2000
t/ValTannen,p/LucianPopa,1999
t/ValTannen,d/AlinDeutsch,1999
t/ValTannen,s/DanSuciu,1997
t/ValTannen,s/DanSuciu,1994
k/VanaKalogeraki,g/DimitriosGunopulos,2021
k/VanaKalogeraki,83/741,2021
k/VanaKalogeraki,57/7247,2019
k/VanaKalogeraki,g/DimitriosGunopulos,2019
k/VanaKalogeraki,83/741,2018
k/VanaKalogeraki,57/7247,2018
k/VanaKalogeraki,g/DimitriosGunopulos,2018
k/VanaKalogeraki,g/DimitriosGunopulos,2017
k/VanaKalogeraki,g/DimitriosGunopulos,2016
k/VanaKalogeraki,61/267,2016
k/VanaKalogeraki,g/DimitriosGunopulos,2015
k/VanaKalogeraki,g/DimitriosGunopulos,2014
k/VanaKalogeraki,61/267,2014
k/VanaKalogeraki,h/JaakkoHollmen,2014
k/VanaKalogeraki,94/5893,2013
k/VanaKalogeraki,g/DimitriosGunopulos,2013
k/VanaKalogeraki,61/267,2013
k/VanaKalogeraki,g/DimitriosGunopulos,2012
k/VanaKalogeraki,59/3814,2012
k/VanaKalogeraki,h/JaakkoHollmen,2012
k/VanaKalogeraki,g/DimitriosGunopulos,2011
k/VanaKalogeraki,g/DimitriosGunopulos,2010
k/VanaKalogeraki,z/DemetriosZeinalipourYazti,2009
k/VanaKalogeraki,g/DimitriosGunopulos,2009
k/VanaKalogeraki,k/NickKoudas,2009
k/VanaKalogeraki,s/DiveshSrivastava,2009
k/VanaKalogeraki,90/7704,2009
k/VanaKalogeraki,g/DimitriosGunopulos,2008
k/VanaKalogeraki,g/DimitriosGunopulos,2007
k/VanaKalogeraki,z/DemetriosZeinalipourYazti,2007
k/VanaKalogeraki,07/1181,2007
k/VanaKalogeraki,z/DemetriosZeinalipourYazti,2006
k/VanaKalogeraki,g/DimitriosGunopulos,2006
k/VanaKalogeraki,07/1181,2006
k/VanaKalogeraki,z/DemetriosZeinalipourYazti,2005
k/VanaKalogeraki,g/DimitriosGunopulos,2005
k/VanaKalogeraki,k/NickKoudas,2005
k/VanaKalogeraki,s/DiveshSrivastava,2005
k/VanaKalogeraki,z/DemetriosZeinalipourYazti,2004
k/VanaKalogeraki,g/DimitriosGunopulos,2004
k/VanaKalogeraki,g/DimitriosGunopulos,2003
k/VanaKalogeraki,g/DimitriosGunopulos,2002
k/VanaKalogeraki,z/DemetriosZeinalipourYazti,2002
84/2055,f/JulianaFreire,2021
84/2055,68/7553-1,2021
84/2055,s/ASdaSilva,2020
84/2055,68/7553-1,2020
84/2055,f/JulianaFreire,2019
84/2055,68/7553-1,2018
84/2055,28/1062,2018
84/2055,68/7553-1,2017
84/2055,24/788,2017
84/2055,f/JulianaFreire,2017
84/2055,t/CaetanoTrainaJr,2016
84/2055,f/JulianaFreire,2016
84/2055,28/1062,2016
84/2055,68/7553-1,2016
84/2055,54/1720,2016
84/2055,l/BertramLudascher,2016
84/2055,f/JulianaFreire,2015
84/2055,04/5404,2014
84/2055,54/1720,2014
84/2055,f/JulianaFreire,2014
84/2055,68/7553-1,2014
84/2055,24/788,2012
84/2055,24/788,2011
84/2055,68/7553-1,2011
84/2055,24/788,2010
84/2055,68/7553-1,2010
84/2055,m/MirellaMouraMoro,2009
84/2055,24/788,2009
84/2055,68/7553-1,2009
84/2055,04/5404,2009
84/2055,68/7553-1,2006
84/2055,m/MirellaMouraMoro,2004
132/6943,b/ABonifati,2021
132/6943,19/1082,2021
132/6943,a/WGAref,2021
132/6943,76/6735,2021
132/6943,b/PeterABoncz,2021
132/6943,d/KhuzaimaDaudjee,2021
132/6943,h/KatjaHose,2021
132/6943,o/MTamerOzsu,2021
132/6943,169/8184,2021
132/6943,92/9686,2021
132/6943,81/9436-1,2021
132/6943,95/9170,2021
132/6943,95/9170,2020
132/6943,90/7704,2020
132/6943,b/ABonifati,2020
132/6943,19/1082,2020
132/6943,a/WGAref,2020
132/6943,76/6735,2020
132/6943,b/PeterABoncz,2020
132/6943,d/KhuzaimaDaudjee,2020
132/6943,h/KatjaHose,2020
132/6943,o/MTamerOzsu,2020
132/6943,169/8184,2020
132/6943,92/9686,2020
132/6943,81/9436-1,2020
132/6943,95/9170,2019
132/6943,90/7704,2018
132/6943,95/9170,2018
132/6943,95/9170,2017
132/6943,m/VMarkl,2014
87/11444,c/VassilisChristophides,2021
87/11444,32/1624,2021
87/11444,87/10957,2021
87/11444,o/FatmaOzcan,2021
87/11444,p/LucianPopa,2021
87/11444,p/EPitoura,2021
87/11444,127/6195,2021
87/11444,37/3868,2021
87/11444,w/WeiWang,2021
87/11444,h/OktieHassanzadeh,2021
87/11444,129/8181,2020
87/11444,87/10957,2020
87/11444,127/6195,2020
87/11444,o/FatmaOzcan,2020
87/11444,c/VassilisChristophides,2020
87/11444,h/OktieHassanzadeh,2020
87/11444,32/1624,2019
87/11444,c/VassilisChristophides,2019
87/11444,32/1624,2018
87/11444,c/VassilisChristophides,2018
87/11444,32/1624,2017
87/11444,44/2379,2017
87/11444,c/VassilisChristophides,2017
87/11444,h/OktieHassanzadeh,2017
87/11444,c/VassilisChristophides,2016
87/11444,h/OktieHassanzadeh,2016
87/11444,56/7016,2016
87/11444,c/VassilisChristophides,2015
87/11444,32/1624,2015
87/11444,44/2379,2015
87/11444,w/MelanieWeis,2014
87/11444,c/VassilisChristophides,2014
v/VVassalos,b/DBarbosa,2018
v/VVassalos,f/JulianaFreire,2018
v/VVassalos,m/IoanaManolescu,2018
v/VVassalos,y/MasatoshiYoshikawa,2018
v/VVassalos,p/YPapakonstantinou,2018
v/VVassalos,a/AnastassiaAilamaki,2015
v/VVassalos,41/9728,2015
v/VVassalos,17/1242,2013
v/VVassalos,d/ADeligiannakis,2013
v/VVassalos,t/YannisTheodoridis,2013
v/VVassalos,m/IoanaManolescu,2012
v/VVassalos,d/AlinDeutsch,2011
v/VVassalos,d/ADeligiannakis,2011
v/VVassalos,m/IoanaManolescu,2011
v/VVassalos,59/7992,2011
v/VVassalos,d/ADeligiannakis,2010
v/VVassalos,d/AlinDeutsch,2010
v/VVassalos,p/YPapakonstantinou,2010
v/VVassalos,17/1242,2010
v/VVassalos,t/YannisTheodoridis,2010
v/VVassalos,d/AlinDeutsch,2009
v/VVassalos,d/ADeligiannakis,2009
v/VVassalos,b/DBarbosa,2009
v/VVassalos,f/JulianaFreire,2009
v/VVassalos,m/IoanaManolescu,2009
v/VVassalos,y/MasatoshiYoshikawa,2009
v/VVassalos,p/YPapakonstantinou,2009
v/VVassalos,d/ADeligiannakis,2008
v/VVassalos,d/AmolDeshpande,2008
v/VVassalos,h/PeterJHaas,2008
v/VVassalos,i/IhabFIlyas,2008
v/VVassalos,k/ChristophKoch,2008
v/VVassalos,t/MartinTheobald,2008
v/VVassalos,d/ADeligiannakis,2007
v/VVassalos,p/YPapakonstantinou,2005
v/VVassalos,r/KARoss,2004
v/VVassalos,b/PeterABoncz,2004
v/VVassalos,i/IhabFIlyas,2004
v/VVassalos,m/VMarkl,2004
v/VVassalos,g/MinosNGarofalakis,2004
v/VVassalos,m/IoanaManolescu,2004
v/VVassalos,s/RalfSchenkel,2004
v/VVassalos,p/YPapakonstantinou,2003
v/VVassalos,p/YPapakonstantinou,2002
v/VVassalos,p/YPapakonstantinou,2001
v/VVassalos,p/YPapakonstantinou,2000
v/VVassalos,p/YPapakonstantinou,1999
v/VVassalos,l/ChenLi1,1998
v/VVassalos,p/YPapakonstantinou,1998
v/VVassalos,p/YPapakonstantinou,1997
94/1028,48/5154,2011
94/1028,97/3036,2010
94/1028,94/5893,2009
94/1028,b/FBonchi,2008
94/1028,48/5154,2008
94/1028,t/YannisTheodoridis,2007
94/1028,b/ElisaBertino,2004
94/1028,48/5154,2004
94/1028,t/YannisTheodoridis,2004
94/1028,28/1062,2003
94/1028,48/5154,2002
94/1028,48/5154,2001
94/1028,b/ElisaBertino,2001
c/VassilisChristophides,87/11444,2021
c/VassilisChristophides,32/1624,2021
c/VassilisChristophides,p/EPitoura,2021
c/VassilisChristophides,87/11444,2020
c/VassilisChristophides,87/11444,2019
c/VassilisChristophides,32/1624,2019
c/VassilisChristophides,87/11444,2018
c/VassilisChristophides,32/1624,2018
c/VassilisChristophides,87/11444,2017
c/VassilisChristophides,h/OktieHassanzadeh,2017
c/VassilisChristophides,g/FlorisGeerts,2016
c/VassilisChristophides,74/6086,2016
c/VassilisChristophides,87/11444,2016
c/VassilisChristophides,a/BAmann,2016
c/VassilisChristophides,87/11444,2015
c/VassilisChristophides,a/BAmann,2014
c/VassilisChristophides,87/11444,2014
c/VassilisChristophides,w/MelanieWeis,2014
c/VassilisChristophides,74/6086,2013
c/VassilisChristophides,g/FlorisGeerts,2013
c/VassilisChristophides,a/BAmann,2012
c/VassilisChristophides,74/6086,2012
c/VassilisChristophides,b/PeterABoncz,2012
c/VassilisChristophides,19/4428,2012
c/VassilisChristophides,44/2379,2012
c/VassilisChristophides,74/6086,2011
c/VassilisChristophides,74/6086,2009
c/VassilisChristophides,t/ValTannen,2009
c/VassilisChristophides,s/TimosKSellis,2008
c/VassilisChristophides,w/PeterTWood,2008
c/VassilisChristophides,s/TimosKSellis,2007
c/VassilisChristophides,t/ValTannen,2006
c/VassilisChristophides,t/ValTannen,2005
c/VassilisChristophides,d/AlinDeutsch,2005
c/VassilisChristophides,t/ValTannen,2004
c/VassilisChristophides,w/PeterTWood,2004
c/VassilisChristophides,t/ValTannen,2003
c/VassilisChristophides,v/YannisVelegrakis,2000
c/VassilisChristophides,a/BAmann,2000
c/VassilisChristophides,74/6086,2000
c/VassilisChristophides,v/YannisVelegrakis,1999
c/VassilisChristophides,m/TovaMilo,1997
c/VassilisChristophides,74/6086,1997
c/VassilisChristophides,a/BAmann,1993
03/4045,g/ManishGupta1,2022
03/4045,184/2150,2021
03/4045,83/9923,2021
03/4045,g/ManishGupta1,2021
03/4045,15/1669,2020
03/4045,g/ManishGupta1,2020
03/4045,184/2150,2020
03/4045,83/9923,2020
03/4045,198/5418,2020
03/4045,g/ManishGupta1,2019
03/4045,97/5147,2019
03/4045,184/2150,2019
03/4045,198/5418,2019
03/4045,83/9923,2019
03/4045,15/1669,2019
03/4045,139/0855,2019
03/4045,139/0855,2018
03/4045,g/ManishGupta1,2018
03/4045,190/1709,2018
03/4045,198/5418,2018
03/4045,147/9053,2018
03/4045,147/9053,2017
03/4045,203/9710,2017
03/4045,g/ManishGupta1,2017
03/4045,97/5147,2017
03/4045,139/0855,2017
03/4045,198/5418,2017
03/4045,87/819-1,2016
03/4045,g/ManishGupta1,2016
03/4045,80/594,2016
03/4045,g/ManishGupta1,2015
03/4045,147/9053,2015
03/4045,g/ManishGupta1,2014
03/4045,80/8429,2014
03/4045,147/9053,2014
03/4045,87/819-1,2013
03/4045,147/9053,2013
03/4045,87/819-1,2012
03/4045,147/9053,2012
03/4045,87/819-1,2011
03/4045,87/819-1,2010
c/VTChakaravarthy,133/3638,2021
c/VTChakaravarthy,38/768,2021
c/VTChakaravarthy,71/1647,2020
c/VTChakaravarthy,71/1647,2018
c/VTChakaravarthy,71/1647,2015
c/VTChakaravarthy,71/1647,2014
c/VTChakaravarthy,71/1647,2013
c/VTChakaravarthy,34/5594,2012
c/VTChakaravarthy,71/1647,2012
c/VTChakaravarthy,23/3743,2012
c/VTChakaravarthy,71/1647,2011
c/VTChakaravarthy,71/1647,2010
